MsCode,DemCode,EstCode,Year,Estimate,SE,LowerCIB,UpperCIB,Flag
MEASA,REGC03,A_Proportion,2019,16.1,3.8,12.3,19.8,
MEASA,REGC03,B_Number,2019,19.1,4.8,14.3,23.9,
MEASA,REGC03,C_Population,2019,118.9,7.6,111.3,126.5,
MEASA,REGC03,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC03,E_Number_diff,2019, , , , ,NA
MEASA,REGC04,A_Proportion,2019,13.6,3.9,9.7,17.5,
MEASA,REGC04,B_Number,2019,11.1,3.4,7.8,14.5,
MEASA,REGC04,C_Population,2019,81.5,5.4,76.1,86.9,
MEASA,REGC04,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC04,E_Number_diff,2019, , , , ,NA
MEASA,REGC05,A_Proportion,2019,15.2,4.2,11.1,19.4,
MEASA,REGC05,B_Number,2019,8.4,2.4,6,10.8,
MEASA,REGC05,C_Population,2019,55.1,3.9,51.2,59,
MEASA,REGC05,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC05,E_Number_diff,2019, , , , ,NA
MEASA,REGC06,A_Proportion,2019,15.4,6.1,9.3,21.4,
MEASA,REGC06,B_Number,2019,4.5,1.9,2.6,6.4,
MEASA,REGC06,C_Population,2019,29.5,3,26.5,32.6,
MEASA,REGC06,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC06,E_Number_diff,2019, , , , ,NA
MEASA,REGC07,A_Proportion,2019,15.7,5,10.7,20.7,
MEASA,REGC07,B_Number,2019,9.4,3.1,6.3,12.6,
MEASA,REGC07,C_Population,2019,60.2,4.2,56,64.4,
MEASA,REGC07,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC07,E_Number_diff,2019, , , , ,NA
MEASA,REGC08,A_Proportion,2019,11.6,3,8.6,14.6,
MEASA,REGC08,B_Number,2019,13.2,3.7,9.5,16.9,
MEASA,REGC08,C_Population,2019,113.8,6.8,106.9,120.6,
MEASA,REGC08,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC08,E_Number_diff,2019, , , , ,NA
MEASA,REGC09,A_Proportion,2019,11.2,4.4,6.8,15.6,
MEASA,REGC09,B_Number,2019,4.6,2,2.6,6.6,
MEASA,REGC09,C_Population,2019,41.3,4.5,36.8,45.8,
MEASA,REGC09,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC09,E_Number_diff,2019, , , , ,NA
MEASA,REGC10,A_Proportion,2019,8.7,2.5,6.3,11.2,
MEASA,REGC10,B_Number,2019,11.8,3.6,8.2,15.4,
MEASA,REGC10,C_Population,2019,135.4,9.3,126,144.7,
MEASA,REGC10,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC10,E_Number_diff,2019, , , , ,NA
MEASA,REGC11,A_Proportion,2019,14,4.8,9.2,18.9,
MEASA,REGC11,B_Number,2019,7.3,2.7,4.6,9.9,
MEASA,REGC11,C_Population,2019,51.9,5.5,46.4,57.4,
MEASA,REGC11,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC11,E_Number_diff,2019, , , , ,NA
MEASA,REGC12,A_Proportion,2019,18.7,8.3,10.4,27,
MEASA,REGC12,B_Number,2019,4.6,2.1,2.5,6.7,
MEASA,REGC12,C_Population,2019,24.4,2.7,21.8,27.1,
MEASA,REGC12,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC12,E_Number_diff,2019, , , , ,NA
MEASA,REGC99,A_Proportion,2019,13.5,0.9,12.6,14.4,
MEASA,REGC99,B_Number,2019,153.2,10.1,143.2,163.3,
MEASA,REGC99,C_Population,2019,1132.8, , , ,NA
MEASA,REGC99,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC99,E_Number_diff,2019, , , , ,NA
MEASB,ETHG01,A_Proportion,2019,14.7,1.2,13.4,15.9,
MEASB,ETHG01,B_Number,2019,107.2,9.8,97.3,117,
MEASB,ETHG01,C_Population,2019,731.3,19.6,711.7,751,
MEASB,ETHG01,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG01,E_Number_diff,2019, , , , ,NA
MEASB,ETHG02,A_Proportion,2019,22.4,2.2,20.2,24.6,
MEASB,ETHG02,B_Number,2019,66.2,7.4,58.8,73.7,
MEASB,ETHG02,C_Population,2019,295.5,12.8,282.7,308.3,
MEASB,ETHG02,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG02,E_Number_diff,2019, , , , ,NA
MEASB,ETHG03,A_Proportion,2019,21.5,3.2,18.3,24.7,
MEASB,ETHG03,B_Number,2019,30.3,5.4,24.9,35.7,
MEASB,ETHG03,C_Population,2019,141.2,12.6,128.6,153.8,
MEASB,ETHG03,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG03,E_Number_diff,2019, , , , ,NA
MEASB,ETHG04,A_Proportion,2019,22.9,3.2,19.7,26.1,
MEASB,ETHG04,B_Number,2019,41.3,7.2,34,48.5,
MEASB,ETHG04,C_Population,2019,180.4,14.6,165.9,195,
MEASB,ETHG04,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG04,E_Number_diff,2019, , , , ,NA
MEASB,ETHG05,A_Proportion,2019,35.5,11.3,24.2,46.8,
MEASB,ETHG05,B_Number,2019,7.8,3.1,4.8,10.9,
MEASB,ETHG05,C_Population,2019,22.1,4.7,17.4,26.7,
MEASB,ETHG05,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG05,E_Number_diff,2019, , , , ,NA
MEASB,ETHG06,A_Proportion,2019,32.6,12.3,20.4,44.9,
MEASB,ETHG06,B_Number,2019,7.3,3.4,4,10.7,
MEASB,ETHG06,C_Population,2019,22.5,5.5,17,28,
MEASB,ETHG06,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG06,E_Number_diff,2019, , , , ,NA
MEASB,ETHG99,A_Proportion,2019,18.3,1.1,17.2,19.5,
MEASB,ETHG99,B_Number,2019,207.7,12.9,194.9,220.6,
MEASB,ETHG99,C_Population,2019,1132.8, , , ,NA
MEASB,ETHG99,D_Proportion_diff,2019, , , , ,NA
MEASB,ETHG99,E_Number_diff,2019, , , , ,NA
MEASB,REGC01,A_Proportion,2019,22.5,8.1,14.4,30.7,
MEASB,REGC01,B_Number,2019,10.4,3.8,6.6,14.3,
MEASB,REGC01,C_Population,2019,46.3,4.5,41.8,50.8,
MEASB,REGC01,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC01,E_Number_diff,2019, , , , ,NA
MEASB,REGC02,A_Proportion,2019,20,2.3,17.7,22.3,
MEASB,REGC02,B_Number,2019,74.9,9,65.9,83.9,
MEASB,REGC02,C_Population,2019,374.5,12.3,362.2,386.8,
MEASB,REGC02,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC02,E_Number_diff,2019, , , , ,NA
MEASB,REGC03,A_Proportion,2019,20,3.8,16.2,23.8,
MEASB,REGC03,B_Number,2019,23.8,5.1,18.7,28.9,
MEASB,REGC03,C_Population,2019,118.9,7.6,111.3,126.5,
MEASB,REGC03,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC03,E_Number_diff,2019, , , , ,NA
MEASB,REGC04,A_Proportion,2019,20.9,5.4,15.4,26.3,
MEASB,REGC04,B_Number,2019,17,4.5,12.5,21.5,
MEASB,REGC04,C_Population,2019,81.5,5.4,76.1,86.9,
MEASB,REGC04,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC04,E_Number_diff,2019, , , , ,NA
MEASB,REGC05,A_Proportion,2019,14.9,4.5,10.3,19.4,
MEASB,REGC05,B_Number,2019,8.2,2.7,5.5,10.9,
MEASB,REGC05,C_Population,2019,55.1,3.9,51.2,59,
MEASB,REGC05,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC05,E_Number_diff,2019, , , , ,NA
MEASB,REGC06,A_Proportion,2019,20.5,6.4,14.1,26.9,
MEASB,REGC06,B_Number,2019,6,2.1,3.9,8.1,
MEASB,REGC06,C_Population,2019,29.5,3,26.5,32.6,
MEASB,REGC06,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC06,E_Number_diff,2019, , , , ,NA
MEASB,REGC07,A_Proportion,2019,17.5,5,12.5,22.4,
MEASB,REGC07,B_Number,2019,10.5,3.1,7.4,13.7,
MEASB,REGC07,C_Population,2019,60.2,4.2,56,64.4,
MEASB,REGC07,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC07,E_Number_diff,2019, , , , ,NA
MEASB,REGC08,A_Proportion,2019,14.8,3.3,11.5,18.1,
MEASB,REGC08,B_Number,2019,16.9,4.1,12.8,21,
MEASB,REGC08,C_Population,2019,113.8,6.8,106.9,120.6,
MEASB,REGC08,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC08,E_Number_diff,2019, , , , ,NA
MEASB,REGC09,A_Proportion,2019,16.5,5.5,11,22,
MEASB,REGC09,B_Number,2019,6.8,2.5,4.3,9.3,
MEASB,REGC09,C_Population,2019,41.3,4.5,36.8,45.8,
MEASB,REGC09,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC09,E_Number_diff,2019, , , , ,NA
MEASB,REGC10,A_Proportion,2019,15.2,2.7,12.4,17.9,
MEASB,REGC10,B_Number,2019,20.5,4.1,16.4,24.6,
MEASB,REGC10,C_Population,2019,135.4,9.3,126,144.7,
MEASB,REGC10,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC10,E_Number_diff,2019, , , , ,NA
MEASB,REGC11,A_Proportion,2019,17.1,5.3,11.8,22.5,
MEASB,REGC11,B_Number,2019,8.9,3,5.9,11.9,
MEASB,REGC11,C_Population,2019,51.9,5.5,46.4,57.4,
MEASB,REGC11,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC11,E_Number_diff,2019, , , , ,NA
MEASB,REGC12,A_Proportion,2019,15.3,7.9,7.5,23.2,
MEASB,REGC12,B_Number,2019,3.7,2,1.8,5.7,
MEASB,REGC12,C_Population,2019,24.4,2.7,21.8,27.1,
MEASB,REGC12,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC12,E_Number_diff,2019, , , , ,NA
MEASB,REGC99,A_Proportion,2019,18.3,1.1,17.2,19.5,
MEASB,REGC99,B_Number,2019,207.7,12.9,194.9,220.6,
MEASB,REGC99,C_Population,2019,1132.8, , , ,NA
MEASB,REGC99,D_Proportion_diff,2019, , , , ,NA
MEASB,REGC99,E_Number_diff,2019, , , , ,NA
MEASC,ETHG01,A_Proportion,2019,9.6,1,8.6,10.7,
MEASC,ETHG01,B_Number,2019,70.9,7.8,63.1,78.7,
MEASC,ETHG01,C_Population,2019,737.4,19.2,718.2,756.7,
MEASC,ETHG01,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG01,E_Number_diff,2019, , , , ,NA
MEASC,ETHG02,A_Proportion,2019,22.6,2.3,20.3,24.9,
MEASC,ETHG02,B_Number,2019,65.7,7.3,58.4,73,
MEASC,ETHG02,C_Population,2019,290.9,12.4,278.5,303.3,
MEASC,ETHG02,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG02,E_Number_diff,2019, , , , ,NA
MEASC,ETHG03,A_Proportion,2019,28.2,4.2,24,32.3,
MEASC,ETHG03,B_Number,2019,39.7,7.3,32.4,46.9,
MEASC,ETHG03,C_Population,2019,140.7,12.4,128.3,153.1,
MEASC,ETHG03,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG03,E_Number_diff,2019, , , , ,NA
MEASC,ETHG04,A_Proportion,2019,6.3,1.7,4.5,8,
MEASC,ETHG04,B_Number,2019,11.3,3.1,8.2,14.4,
MEASC,ETHG04,C_Population,2019,181.1,14.7,166.5,195.8,
MEASC,ETHG04,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG04,E_Number_diff,2019, , , , ,NA
MEASC,ETHG05,A_Proportion,2019,22.7,9.5,13.2,32.3,
MEASC,ETHG05,B_Number,2019,5.1,2.3,2.8,7.4,
MEASC,ETHG05,C_Population,2019,22.3,4.7,17.6,27,
MEASC,ETHG05,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG05,E_Number_diff,2019, , , , ,NA
MEASC,ETHG06,A_Proportion,2019,14.2,9.7,4.5,23.9,
MEASC,ETHG06,B_Number,2019,3.3,2.4,0.9,5.6,
MEASC,ETHG06,C_Population,2019,22.9,5.7,17.3,28.6,
MEASC,ETHG06,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG06,E_Number_diff,2019, , , , ,NA
MEASC,ETHG99,A_Proportion,2019,13.2,1.1,12.1,14.3,
MEASC,ETHG99,B_Number,2019,149.4,12.2,137.2,161.6,
MEASC,ETHG99,C_Population,2019,1132.2,0.6,1131.6,1132.8,
MEASC,ETHG99,D_Proportion_diff,2019, , , , ,NA
MEASC,ETHG99,E_Number_diff,2019, , , , ,NA
MEASC,REGC01,A_Proportion,2019,13.9,6.8,7.1,20.6,
MEASC,REGC01,B_Number,2019,6.3,3.1,3.3,9.4,
MEASC,REGC01,C_Population,2019,45.6,4.5,41.1,50.2,
MEASC,REGC01,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC01,E_Number_diff,2019, , , , ,NA
MEASC,REGC02,A_Proportion,2019,13.3,2,11.3,15.2,
MEASC,REGC02,B_Number,2019,49.3,7.7,41.6,57,
MEASC,REGC02,C_Population,2019,371.7,12.3,359.5,384,
MEASC,REGC02,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC02,E_Number_diff,2019, , , , ,NA
MEASC,REGC03,A_Proportion,2019,15.8,3.3,12.4,19.1,
MEASC,REGC03,B_Number,2019,19.1,4.3,14.9,23.4,
MEASC,REGC03,C_Population,2019,121.4,7.7,113.8,129.1,
MEASC,REGC03,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC03,E_Number_diff,2019, , , , ,NA
MEASC,REGC04,A_Proportion,2019,13.7,3.2,10.6,16.9,
MEASC,REGC04,B_Number,2019,11.4,2.7,8.6,14.1,
MEASC,REGC04,C_Population,2019,82.7,5.5,77.2,88.2,
MEASC,REGC04,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC04,E_Number_diff,2019, , , , ,NA
MEASC,REGC05,A_Proportion,2019,14.6,4.4,10.2,19,
MEASC,REGC05,B_Number,2019,8.1,2.5,5.6,10.7,
MEASC,REGC05,C_Population,2019,55.8,4.2,51.6,60,
MEASC,REGC05,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC05,E_Number_diff,2019, , , , ,NA
MEASC,REGC06,A_Proportion,2019,17.7,7.2,10.6,24.9,
MEASC,REGC06,B_Number,2019,5.2,2.2,3,7.4,
MEASC,REGC06,C_Population,2019,29.2,3.2,26,32.3,
MEASC,REGC06,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC06,E_Number_diff,2019, , , , ,NA
MEASC,REGC07,A_Proportion,2019,17.8,5,12.8,22.8,
MEASC,REGC07,B_Number,2019,10.7,3.2,7.5,13.9,
MEASC,REGC07,C_Population,2019,60.2,4.5,55.8,64.7,
MEASC,REGC07,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC07,E_Number_diff,2019, , , , ,NA
MEASC,REGC08,A_Proportion,2019,9.4,2.5,6.9,11.9,
MEASC,REGC08,B_Number,2019,10.6,2.9,7.6,13.5,
MEASC,REGC08,C_Population,2019,112.5,7.1,105.4,119.6,
MEASC,REGC08,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC08,E_Number_diff,2019, , , , ,NA
MEASC,REGC09,A_Proportion,2019,14.9,5.8,9.1,20.6,
MEASC,REGC09,B_Number,2019,6.1,2.6,3.5,8.7,
MEASC,REGC09,C_Population,2019,40.9,4.8,36.1,45.7,
MEASC,REGC09,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC09,E_Number_diff,2019, , , , ,NA
MEASC,REGC10,A_Proportion,2019,9.9,3,6.9,12.9,
MEASC,REGC10,B_Number,2019,13.4,3.9,9.5,17.3,
MEASC,REGC10,C_Population,2019,135.3,9.7,125.7,145,
MEASC,REGC10,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC10,E_Number_diff,2019, , , , ,NA
MEASC,REGC11,A_Proportion,2019,12,7.3,4.7,19.3,
MEASC,REGC11,B_Number,2019,6.3,3.9,2.4,10.2,
MEASC,REGC11,C_Population,2019,52.5,5.7,46.8,58.2,
MEASC,REGC11,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC11,E_Number_diff,2019, , , , ,NA
MEASC,REGC12,A_Proportion,2019,12,7.9,4,19.9,
MEASC,REGC12,B_Number,2019,2.9,2,0.9,4.9,
MEASC,REGC12,C_Population,2019,24.3,2.8,21.5,27,
MEASC,REGC12,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC12,E_Number_diff,2019, , , , ,NA
MEASC,REGC99,A_Proportion,2019,13.2,1.1,12.1,14.3,
MEASC,REGC99,B_Number,2019,149.4,12.2,137.2,161.6,
MEASC,REGC99,C_Population,2019,1132.2,0.6,1131.6,1132.8,
MEASC,REGC99,D_Proportion_diff,2019, , , , ,NA
MEASC,REGC99,E_Number_diff,2019, , , , ,NA
MEASE,ETHG01,A_Proportion,2019,16.7,1.4,15.4,18.1,
MEASE,ETHG01,B_Number,2019,122.3,11.2,111.1,133.5,
MEASE,ETHG01,C_Population,2019,731.3,19.6,711.7,751,
MEASE,ETHG01,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG01,E_Number_diff,2019, , , , ,NA
MEASE,ETHG02,A_Proportion,2019,29.2,2.2,27,31.4,
MEASE,ETHG02,B_Number,2019,86.3,7.3,79,93.6,
MEASE,ETHG02,C_Population,2019,295.5,12.8,282.7,308.3,
MEASE,ETHG02,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG02,E_Number_diff,2019, , , , ,NA
MEASE,ETHG03,A_Proportion,2019,30.9,4.1,26.8,35,
MEASE,ETHG03,B_Number,2019,43.6,6.9,36.7,50.6,
MEASE,ETHG03,C_Population,2019,141.2,12.6,128.6,153.8,
MEASE,ETHG03,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG03,E_Number_diff,2019, , , , ,NA
MEASE,ETHG04,A_Proportion,2019,22.4,3,19.4,25.5,
MEASE,ETHG04,B_Number,2019,40.4,6.7,33.8,47.1,
MEASE,ETHG04,C_Population,2019,180.4,14.6,165.9,195,
MEASE,ETHG04,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG04,E_Number_diff,2019, , , , ,NA
MEASE,ETHG05,A_Proportion,2019,39.4,11.4,27.9,50.8,
MEASE,ETHG05,B_Number,2019,8.7,3.2,5.5,11.9,
MEASE,ETHG05,C_Population,2019,22.1,4.7,17.4,26.7,
MEASE,ETHG05,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG05,E_Number_diff,2019, , , , ,NA
MEASE,ETHG06,A_Proportion,2019,35.6,12.3,23.3,47.9,
MEASE,ETHG06,B_Number,2019,8,3.4,4.6,11.4,
MEASE,ETHG06,C_Population,2019,22.5,5.5,17,28,
MEASE,ETHG06,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG06,E_Number_diff,2019, , , , ,NA
MEASE,ETHG99,A_Proportion,2019,22.1,1.1,21,23.2,
MEASE,ETHG99,B_Number,2019,250.3,12.6,237.7,262.8,
MEASE,ETHG99,C_Population,2019,1132.8, , , ,NA
MEASE,ETHG99,D_Proportion_diff,2019, , , , ,NA
MEASE,ETHG99,E_Number_diff,2019, , , , ,NA
MEASE,REGC01,A_Proportion,2019,31.2,9.3,21.9,40.5,
MEASE,REGC01,B_Number,2019,14.5,4.5,9.9,19,
MEASE,REGC01,C_Population,2019,46.3,4.5,41.8,50.8,
MEASE,REGC01,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC01,E_Number_diff,2019, , , , ,NA
MEASE,REGC02,A_Proportion,2019,21.7,2.3,19.3,24,
MEASE,REGC02,B_Number,2019,81.1,9.3,71.9,90.4,
MEASE,REGC02,C_Population,2019,374.5,12.3,362.2,386.8,
MEASE,REGC02,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC02,E_Number_diff,2019, , , , ,NA
MEASE,REGC03,A_Proportion,2019,24,4.4,19.7,28.4,
MEASE,REGC03,B_Number,2019,28.5,5.8,22.7,34.4,
MEASE,REGC03,C_Population,2019,118.9,7.6,111.3,126.5,
MEASE,REGC03,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC03,E_Number_diff,2019, , , , ,NA
MEASE,REGC04,A_Proportion,2019,24.1,5,19.1,29.1,
MEASE,REGC04,B_Number,2019,19.7,4.3,15.3,24,
MEASE,REGC04,C_Population,2019,81.5,5.4,76.1,86.9,
MEASE,REGC04,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC04,E_Number_diff,2019, , , , ,NA
MEASE,REGC05,A_Proportion,2019,24.7,5.3,19.4,29.9,
MEASE,REGC05,B_Number,2019,13.6,3.1,10.5,16.7,
MEASE,REGC05,C_Population,2019,55.1,3.9,51.2,59,
MEASE,REGC05,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC05,E_Number_diff,2019, , , , ,NA
MEASE,REGC06,A_Proportion,2019,22.6,6.5,16.1,29.2,
MEASE,REGC06,B_Number,2019,6.7,2.2,4.5,8.8,
MEASE,REGC06,C_Population,2019,29.5,3,26.5,32.6,
MEASE,REGC06,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC06,E_Number_diff,2019, , , , ,NA
MEASE,REGC07,A_Proportion,2019,27.8,5.8,22.1,33.6,
MEASE,REGC07,B_Number,2019,16.8,3.7,13.1,20.5,
MEASE,REGC07,C_Population,2019,60.2,4.2,56,64.4,
MEASE,REGC07,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC07,E_Number_diff,2019, , , , ,NA
MEASE,REGC08,A_Proportion,2019,17,3.6,13.3,20.6,
MEASE,REGC08,B_Number,2019,19.3,4.5,14.8,23.8,
MEASE,REGC08,C_Population,2019,113.8,6.8,106.9,120.6,
MEASE,REGC08,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC08,E_Number_diff,2019, , , , ,NA
MEASE,REGC09,A_Proportion,2019,25,9,16,34,
MEASE,REGC09,B_Number,2019,10.3,4.1,6.2,14.4,
MEASE,REGC09,C_Population,2019,41.3,4.5,36.8,45.8,
MEASE,REGC09,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC09,E_Number_diff,2019, , , , ,NA
MEASE,REGC10,A_Proportion,2019,15.5,3.3,12.2,18.8,
MEASE,REGC10,B_Number,2019,21,4.5,16.5,25.5,
MEASE,REGC10,C_Population,2019,135.4,9.3,126,144.7,
MEASE,REGC10,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC10,E_Number_diff,2019, , , , ,NA
MEASE,REGC11,A_Proportion,2019,22.9,6.4,16.5,29.4,
MEASE,REGC11,B_Number,2019,11.9,3.7,8.2,15.6,
MEASE,REGC11,C_Population,2019,51.9,5.5,46.4,57.4,
MEASE,REGC11,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC11,E_Number_diff,2019, , , , ,NA
MEASE,REGC12,A_Proportion,2019,28.2,9.5,18.7,37.7,
MEASE,REGC12,B_Number,2019,6.9,2.6,4.2,9.5,
MEASE,REGC12,C_Population,2019,24.4,2.7,21.8,27.1,
MEASE,REGC12,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC12,E_Number_diff,2019, , , , ,NA
MEASE,REGC99,A_Proportion,2019,22.1,1.1,21,23.2,
MEASE,REGC99,B_Number,2019,250.3,12.6,237.7,262.8,
MEASE,REGC99,C_Population,2019,1132.8, , , ,NA
MEASE,REGC99,D_Proportion_diff,2019, , , , ,NA
MEASE,REGC99,E_Number_diff,2019, , , , ,NA
MEASF,ETHG01,A_Proportion,2019,23.1,1.5,21.7,24.6,
MEASF,ETHG01,B_Number,2019,169,12.4,156.6,181.4,
MEASF,ETHG01,C_Population,2019,731.3,19.6,711.7,751,
MEASF,ETHG01,D_Proportion_diff,2019, , , , ,NA
MEASF,ETHG01,E_Number_diff,2019, , , , ,NA
MEASF,ETHG02,A_Proportion,2019,33.1,2.3,30.8,35.3,
MEASF,ETHG02,B_Number,2019,97.7,8.1,89.6,105.8,
MEASF,ETHG02,C_Population,2019,295.5,12.8,282.7,308.3,
MEASF,ETHG02,D_Proportion_diff,2019, , , , ,NA
MEASF,ETHG02,E_Number_diff,2019, , , , ,NA
MEASF,ETHG03,A_Proportion,2019,34.4,4.3,30.1,38.7,
MEASF,ETHG03,B_Number,2019,48.6,7.6,40.9,56.2,
MEASF,ETHG03,C_Population,2019,141.2,12.6,128.6,153.8,
MEASF,ETHG03,D_Proportion_diff,2019, , , , ,NA
MEASF,ETHG03,E_Number_diff,2019, , , , ,NA
MEASF,ETHG04,A_Proportion,2019,31.6,3.5,28.1,35.2,
MEASF,ETHG04,B_Number,2019,57.1,8.6,48.5,65.7,
